,request_id,id_encid,search_latitude,search_longitude
0,y_460CDA29-6822-4EF8-A86A-34BAB0B85845_1532402266.66,C86vEyma-tbV2v2lDofT0Q,33.88565,-84.470168
1,y_5B15371D-73B5-44F6-97CD-A78D118C8A10_1532233312.31,ZItpPoBlPjIL9-xyu8hWjQ,33.772493,-84.373107
2,y_9BDDBD3C-7F41-41FE-833B-25AB876A86D6_1532135925.8,JeH7svzG58hQc2y0yg38jQ,33.763846,-84.492666
3,y_F447632A-BCDA-461F-8339-1812DB78144B_1532519119.03,UTlOlcXs2MhddloWS-J2bQ,33.752048,-84.383337
4,y_3834fe6f-9688-4675-a2cb-d892cb28dcfb_1531975676.68,QwdzOsNL-PJwJzIymX8Akg,33.8202577,-84.3603692
5,y_3834fe6f-9688-4675-a2cb-d892cb28dcfb_1531975676.68,UTlOlcXs2MhddloWS-J2bQ,33.6437597,-84.4430301
6,y_928baa8e-0349-4748-abe4-518a828c2f53_1532303029.95,WokyOP53CvXevQ4RnoJWQA,33.7795392,-84.3895119
7,y_3834fe6f-9688-4675-a2cb-d892cb28dcfb_1531975676.68,WL8MKArKLfb2gvyWo2pk4A,33.7646458,-84.3837212
8,y_8A9111C1-EF59-498C-8D92-CD201334A6FD_1532482757.05,9wjf3a7XnlOvtsScSdL4VQ,33.757477,-84.395073
9,y_9B7083A1-849C-423E-AA7C-A81CD48B3D67_1532536492.3,ffenvHEfjShTxs8gORx8qg,33.706964,-84.405609
10,y_40565522-CEE0-40D6-8715-7B37DF7BE1F1_1532290338.28,x0WpXbEhum56xnUiq27yZg,33.736341,-84.4174265
11,y_9B7083A1-849C-423E-AA7C-A81CD48B3D67_1532536492.3,ffenvHEfjShTxs8gORx8qg,33.674595,-84.401025
12,y_BB1255DC-49B5-48DD-A394-1B94EC7BA33D_1532135495.74,WokyOP53CvXevQ4RnoJWQA,33.789547,-84.398997
13,y_40565522-CEE0-40D6-8715-7B37DF7BE1F1_1532290338.28,x0WpXbEhum56xnUiq27yZg,33.7479667287065,-84.3826679371094
14,y_928baa8e-0349-4748-abe4-518a828c2f53_1532303029.95,WokyOP53CvXevQ4RnoJWQA,33.7795662,-84.3895382
15,y_F447632A-BCDA-461F-8339-1812DB78144B_1532519119.03,WokyOP53CvXevQ4RnoJWQA,33.751643,-84.384661
16,y_9B7083A1-849C-423E-AA7C-A81CD48B3D67_1532536492.3,ffenvHEfjShTxs8gORx8qg,33.641599,-84.436241
17,y_3834fe6f-9688-4675-a2cb-d892cb28dcfb_1531975676.68,UTlOlcXs2MhddloWS-J2bQ,33.7646458,-84.3837212
18,y_BB1255DC-49B5-48DD-A394-1B94EC7BA33D_1532135495.74,WokyOP53CvXevQ4RnoJWQA,33.788207,-84.399968
19,y_0D0CDC82-8948-49BF-9F08-0BEA11D6BBB0_1532058184.47,UTlOlcXs2MhddloWS-J2bQ,33.809486,-84.368892
20,y_9B7083A1-849C-423E-AA7C-A81CD48B3D67_1532536492.3,ffenvHEfjShTxs8gORx8qg,33.6910025,-84.402284
21,y_F447632A-BCDA-461F-8339-1812DB78144B_1532519119.03,UTlOlcXs2MhddloWS-J2bQ,33.752058,-84.383307
22,y_3834fe6f-9688-4675-a2cb-d892cb28dcfb_1531975676.68,QwdzOsNL-PJwJzIymX8Akg,33.6437597,-84.4430301
