,request_id,id_encid,search_latitude,search_longitude
0,y_EFE74FF3-06A5-4B82-9DAD-F82D242A554D_1532307085.9,FkYkQi7u28BV5FoIZqFaFg,34.233657,-118.3587115
1,y_42D79DA3-F64A-42B8-95DA-2DE159BB1B10_1531939673.12,r5uBw_1jik5t1mZ6P0JWCg,33.940749,-117.943439
2,y_D47C5368-DD1F-42FF-AD5C-9A9A740303D2_1532579798.77,FJCdWQ5J19VcARwssLS2kg,34.112557,-117.872195
3,y_0F3A1013-26D6-4565-AA44-CF82C29B49F5_1532147307.62,CUV-PcNZMPetsfqmm1JUZA,33.968563,-117.730473
4,y_239817A4-5A42-43F1-81FF-B02763F943D5_1531941907.38,QoxGwTgvBPPj-vo0cnXAQA,34.016036,-118.326132
5,y_12819CFB-7736-444E-9417-21A8FB2F2A45_1531987706.21,oya65oz88-a6zLBppg3aGQ,34.0820355,-117.953495
6,y_1B1B4218-B49D-4C4A-9AEE-23821046FF86_1532414558.72,snlELniPxKPIj9fwGJRXsQ,34.088031,-117.894485
7,y_AE4116EC-8A48-4631-9531-C3A24EDA0578_1532203598.74,kQP7dt7nCP0NeoGkl5yBPg,34.14019,-118.0774635
8,y_BA712D20-EDFC-4EA9-86C7-2DCB55A23FED_1532217263.67,4ndkEytG3aTgLdF9aSUBxw,34.0970193,-118.0941973
9,y_da4f4bb9-f158-40ad-9d5a-7528dc3c539c_1532287495.61,AGyf2mn2Yc0THuQKJ08DHg,34.0349051,-118.4886108
10,y_5FFEBF25-68C7-45B6-B759-B527E81A4FBF_1532275693.12,y_F3ZJpiB0CVY8MzW3930Q,34.115861,-117.828922
11,y_52A3A613-0F34-48F8-8019-9FD1C03EF60F_1531989132.51,N19vni1V0IplU5KvZmv6tg,34.08212,-118.37675
12,y_B1A669B6-1F6B-4D8D-A1EE-E5D46FA1A895_1532444905.41,v2_DtnM5kX_d0hWuyGMFYw,34.066181,-118.116717
