,request_id,id_encid,search_latitude,search_longitude
0,y_B8ADB58E-6AC0-4D27-A631-F9AA15C32E44_1531972634.83,xJhum-tgRz0CocA4sweu6A,25.764607,-80.255083
1,y_49D84076-E6A9-4413-A92F-58275AB85E5D_1532132111.81,eyLeTdan98_xO05nY1n-uQ,25.80804,-80.318436
2,y_13afd926-9bb4-41a7-a016-3ecb4b15a9ee_1532376369.97,WXjksRg9o4pIQ1gOfJciUw,25.9413604915336,-80.184147553748
3,y_B8ADB58E-6AC0-4D27-A631-F9AA15C32E44_1531972634.83,GVTRZVqWr9_ooJEa8qITkQ,25.750007,-80.246324
4,y_A0E2B6A0-AA20-4051-B9AD-F643A92B4FD6_1532149577.44,7YJH1thlDnYj2jb77LbMVQ,25.773897,-80.1489
5,y_B8ADB58E-6AC0-4D27-A631-F9AA15C32E44_1531972634.83,GVTRZVqWr9_ooJEa8qITkQ,25.750072,-80.249854
6,y_5223E7C5-5B88-423F-ABB2-2E16ABC1E4B1_1532576204.51,xJhum-tgRz0CocA4sweu6A,25.7604415,-80.3020405
7,y_CF8FFF2D-7774-4C12-BF09-4A3DCD136624_1532284839.99,sOUCT9nAx0XFflZLhsSoYg,25.839056,-80.276067
8,y_B8ADB58E-6AC0-4D27-A631-F9AA15C32E44_1531972634.83,GVTRZVqWr9_ooJEa8qITkQ,25.749553,-80.246399
9,y_B8ADB58E-6AC0-4D27-A631-F9AA15C32E44_1531972634.83,GVTRZVqWr9_ooJEa8qITkQ,25.749741,-80.246071
10,y_5223E7C5-5B88-423F-ABB2-2E16ABC1E4B1_1532576204.51,xJhum-tgRz0CocA4sweu6A,25.7565765,-80.2501155
11,y_0D420742-37B6-4BA9-8A0C-4359D574E1C8_1532361214.49,Cg4hWnb2Chf87GTkqpPCPg,25.892441,-80.16422
12,y_19B42A56-80D6-4BAB-A892-17D5EC777670_1532404100.88,zioqvZdUu_fbU61bZmnuYA,25.688752,-80.308849
13,y_B8ADB58E-6AC0-4D27-A631-F9AA15C32E44_1531972634.83,GVTRZVqWr9_ooJEa8qITkQ,25.766523,-80.224997
14,y_5223E7C5-5B88-423F-ABB2-2E16ABC1E4B1_1532576204.51,xJhum-tgRz0CocA4sweu6A,25.7737925,-80.2493185
15,y_CDC30BB6-2B26-4FF4-AA70-A2344DAC7ECD_1532534032.09,7YJH1thlDnYj2jb77LbMVQ,25.828601,-80.193541
16,y_B8ADB58E-6AC0-4D27-A631-F9AA15C32E44_1531972634.83,GVTRZVqWr9_ooJEa8qITkQ,25.760181,-80.254891
17,y_B8ADB58E-6AC0-4D27-A631-F9AA15C32E44_1531972634.83,GVTRZVqWr9_ooJEa8qITkQ,25.764607,-80.255083
18,y_5223E7C5-5B88-423F-ABB2-2E16ABC1E4B1_1532576204.51,xJhum-tgRz0CocA4sweu6A,25.797213,-80.259904
19,y_A0E2B6A0-AA20-4051-B9AD-F643A92B4FD6_1532149577.44,-ZS7bEI1_rYdX6BoeebhQg,25.773897,-80.1489
20,y_B8ADB58E-6AC0-4D27-A631-F9AA15C32E44_1531972634.83,xJhum-tgRz0CocA4sweu6A,25.766083,-80.226641
21,y_9440C217-F40A-4C5C-A72D-719375E77626_1532371528.8,bVxx-GW8pOYpU93lowiwlQ,25.848981,-80.191182
22,y_22a746c0-71f6-4f3f-bacd-fbc3e4442bd9_1531916090.97,1GDara-37cF1xh_4GMx1HQ,25.9392172706111,-80.2065967740283
23,y_8AE00F83-ECA4-4753-9A34-3F9FA08205B3_1532140910.16,RbllaCSGpc2bT-2TQ98Qcw,25.732004,-80.3183765
24,y_8AE00F83-ECA4-4753-9A34-3F9FA08205B3_1532140910.16,g85XPGM0km2eHjvXprIt1Q,25.7416265,-80.3258905
25,y_A0E2B6A0-AA20-4051-B9AD-F643A92B4FD6_1532149577.44,7YJH1thlDnYj2jb77LbMVQ,25.926863,-80.230701
26,y_9AF2F2EF-5B68-4B19-A682-8C46AFB73C41_1532578724.42,HmfHcFIU-jit9iVm5-7kBQ,25.928159,-80.197767
27,y_0D420742-37B6-4BA9-8A0C-4359D574E1C8_1532361214.49,Cg4hWnb2Chf87GTkqpPCPg,25.892304,-80.164191
28,y_F89CB743-66EE-44B8-93A6-F36739E0F143_1532204347.32,eyLeTdan98_xO05nY1n-uQ,25.8075865,-80.326112
29,y_39AB556F-C12B-46B5-9A0C-693DC2350E95_1532039496.24,hMdjm2-vGBwiSvmui1S7mg,25.94498,-80.341268
30,y_49D84076-E6A9-4413-A92F-58275AB85E5D_1532132111.81,eyLeTdan98_xO05nY1n-uQ,25.807777,-80.318391
31,y_8AE00F83-ECA4-4753-9A34-3F9FA08205B3_1532140910.16,RbllaCSGpc2bT-2TQ98Qcw,25.781085,-80.310571
32,y_B8ADB58E-6AC0-4D27-A631-F9AA15C32E44_1531972634.83,xJhum-tgRz0CocA4sweu6A,25.749741,-80.246071
33,y_B8ADB58E-6AC0-4D27-A631-F9AA15C32E44_1531972634.83,xJhum-tgRz0CocA4sweu6A,25.749928,-80.246316
34,y_5223E7C5-5B88-423F-ABB2-2E16ABC1E4B1_1532576204.51,xJhum-tgRz0CocA4sweu6A,25.765383,-80.250547
35,y_B8ADB58E-6AC0-4D27-A631-F9AA15C32E44_1531972634.83,xJhum-tgRz0CocA4sweu6A,25.766523,-80.224997
36,y_AB898714-7907-4935-9888-2D7B9E528C7C_1532378726.21,Cg4hWnb2Chf87GTkqpPCPg,25.874932,-80.190601
37,y_B8ADB58E-6AC0-4D27-A631-F9AA15C32E44_1531972634.83,GVTRZVqWr9_ooJEa8qITkQ,25.753731,-80.254697
38,y_F89CB743-66EE-44B8-93A6-F36739E0F143_1532204347.32,eyLeTdan98_xO05nY1n-uQ,25.807513,-80.326041
39,y_8AE00F83-ECA4-4753-9A34-3F9FA08205B3_1532140910.16,RbllaCSGpc2bT-2TQ98Qcw,25.783353,-80.305985
40,y_B8ADB58E-6AC0-4D27-A631-F9AA15C32E44_1531972634.83,xJhum-tgRz0CocA4sweu6A,25.760181,-80.254891
41,y_19B42A56-80D6-4BAB-A892-17D5EC777670_1532404100.88,zioqvZdUu_fbU61bZmnuYA,25.688744,-80.308858
42,y_2A22B838-DF69-47A7-BE4B-2092C1F03020_1532541004.91,61qg5lIK6h_27CKrJ6_QLw,25.728347,-80.24575
43,y_5223E7C5-5B88-423F-ABB2-2E16ABC1E4B1_1532576204.51,xJhum-tgRz0CocA4sweu6A,25.7688415,-80.2563655
44,y_B8ADB58E-6AC0-4D27-A631-F9AA15C32E44_1531972634.83,xJhum-tgRz0CocA4sweu6A,25.766194,-80.239815
45,y_8AE00F83-ECA4-4753-9A34-3F9FA08205B3_1532140910.16,RbllaCSGpc2bT-2TQ98Qcw,25.731965,-80.3175005
46,y_13afd926-9bb4-41a7-a016-3ecb4b15a9ee_1532376369.97,WXjksRg9o4pIQ1gOfJciUw,25.9000528487661,-80.2117611732518
47,y_B8ADB58E-6AC0-4D27-A631-F9AA15C32E44_1531972634.83,GVTRZVqWr9_ooJEa8qITkQ,25.749928,-80.246316
48,y_60764DBF-0B8D-43B7-8491-2E90D59E5AAB_1532493145.76,ff5TxV_B2hnldpf_zW49dw,25.934951,-80.131252
49,y_10CF2CE0-71FA-4415-BB98-A0481BD87CAC_1531879318.16,8d36keo3PhL85C0DkZbaOg,25.779789,-80.256338
50,y_F89CB743-66EE-44B8-93A6-F36739E0F143_1532204347.32,eyLeTdan98_xO05nY1n-uQ,25.807189,-80.326105
51,y_8AE00F83-ECA4-4753-9A34-3F9FA08205B3_1532140910.16,g85XPGM0km2eHjvXprIt1Q,25.732004,-80.3183765
52,y_5223E7C5-5B88-423F-ABB2-2E16ABC1E4B1_1532576204.51,xJhum-tgRz0CocA4sweu6A,25.768921,-80.2502675
53,y_A0E2B6A0-AA20-4051-B9AD-F643A92B4FD6_1532149577.44,-ZS7bEI1_rYdX6BoeebhQg,25.926863,-80.230701
54,y_B8944168-F10F-42B5-8EA4-4B3758645237_1532053487.86,hMdjm2-vGBwiSvmui1S7mg,25.943292,-80.307753
55,y_F89CB743-66EE-44B8-93A6-F36739E0F143_1532204347.32,eyLeTdan98_xO05nY1n-uQ,25.807533,-80.326083
56,y_B8ADB58E-6AC0-4D27-A631-F9AA15C32E44_1531972634.83,xJhum-tgRz0CocA4sweu6A,25.749553,-80.246399
57,y_B8ADB58E-6AC0-4D27-A631-F9AA15C32E44_1531972634.83,xJhum-tgRz0CocA4sweu6A,25.753731,-80.254697
58,y_8AE00F83-ECA4-4753-9A34-3F9FA08205B3_1532140910.16,g85XPGM0km2eHjvXprIt1Q,25.781085,-80.310571
59,y_60764DBF-0B8D-43B7-8491-2E90D59E5AAB_1532493145.76,ff5TxV_B2hnldpf_zW49dw,25.934851,-80.131353
60,y_0a724f77-b527-4d79-ad4d-ad0dd5bbcd02_1531969951.8,gbHgNUMDY-UYIXrwE7GN0g,25.7987446,-80.2560639
61,y_49D84076-E6A9-4413-A92F-58275AB85E5D_1532132111.81,eyLeTdan98_xO05nY1n-uQ,25.807885,-80.318442
62,y_49D84076-E6A9-4413-A92F-58275AB85E5D_1532132111.81,eyLeTdan98_xO05nY1n-uQ,25.808036,-80.31843
63,y_6E1A25C0-3EFC-4AAA-B261-E6F2AC0D60D6_1532400048.24,gbHgNUMDY-UYIXrwE7GN0g,25.781855,-80.278743
64,y_B8ADB58E-6AC0-4D27-A631-F9AA15C32E44_1531972634.83,xJhum-tgRz0CocA4sweu6A,25.763559,-80.255087
65,y_6E1A25C0-3EFC-4AAA-B261-E6F2AC0D60D6_1532400048.24,gbHgNUMDY-UYIXrwE7GN0g,25.781673,-80.27843
66,y_B8ADB58E-6AC0-4D27-A631-F9AA15C32E44_1531972634.83,xJhum-tgRz0CocA4sweu6A,25.766214,-80.239869
67,y_AB898714-7907-4935-9888-2D7B9E528C7C_1532378726.21,Cg4hWnb2Chf87GTkqpPCPg,25.87488,-80.190569
68,y_bdde387c-d9b3-4923-bcfd-5cf4a2eb5ace_1532017401.85,sOUCT9nAx0XFflZLhsSoYg,25.8309315,-80.266552
69,y_2D4FFB26-DC23-42D9-B4B5-1822ADE25C4F_1532139321.95,Cg4hWnb2Chf87GTkqpPCPg,25.899898,-80.154437
70,y_F89CB743-66EE-44B8-93A6-F36739E0F143_1532204347.32,eyLeTdan98_xO05nY1n-uQ,25.807516,-80.326056
