,id,business_latitude,business_longitude
0,5Uru01TAAmE9kjavK5DKWA,25.883813,-80.337034
1,KQ4t5YHuVsVDGz5n9jUBcA,25.939397,-80.28094
2,hMdjm2-vGBwiSvmui1S7mg,25.942867,-80.306739
3,Cg4hWnb2Chf87GTkqpPCPg,25.890033,-80.18561
4,gbHgNUMDY-UYIXrwE7GN0g,25.778953,-80.255743
5,XI5YpA8YoubdHLZuYeQVJg,25.8232958,-80.270243
6,8d36keo3PhL85C0DkZbaOg,25.762977,-80.304863
7,CxJX9snk8zy7nxaa3WB2mA,25.88114,-80.35428
8,5bT9682S3XssMpXkPVz-YA,25.8478474511,-80.2899602004
9,ff5TxV_B2hnldpf_zW49dw,25.925442,-80.167073
10,xJhum-tgRz0CocA4sweu6A,25.749944,-80.24611
11,bVxx-GW8pOYpU93lowiwlQ,25.847584,-80.183998
12,RbllaCSGpc2bT-2TQ98Qcw,25.7334287765,-80.3210922222
13,eyLeTdan98_xO05nY1n-uQ,25.8085082,-80.325728
14,TfSyZWxJIm8uDcL6pGA3UA,25.765501817,-80.2103575319
15,g85XPGM0km2eHjvXprIt1Q,25.76989,-80.33096
16,NMYO-UTk7EtAAk2FjpyFhw,25.921442,-80.2935175
17,BeMofcyqEXTTBVMrfrhoUg,25.9282,-80.1883
18,GVTRZVqWr9_ooJEa8qITkQ,25.76544,-80.23426
19,sOUCT9nAx0XFflZLhsSoYg,25.8306925981,-80.266447459
20,UUPLyGfUk8zKNpxSg2vfqA,25.8674,-80.27237
21,61qg5lIK6h_27CKrJ6_QLw,25.736418,-80.245734
22,XL1XsDKDZ8PRXDK7qeTw8g,25.7475,-80.336
23,7YJH1thlDnYj2jb77LbMVQ,25.8104521948,-80.1891376295
24,eE4KXOoua-nfRJnOe637vQ,25.859472,-80.326667
25,-ZS7bEI1_rYdX6BoeebhQg,25.937546,-80.245302
26,zioqvZdUu_fbU61bZmnuYA,25.698914,-80.295817
27,4Ts6w6iUOcohUlj_Up6eLg,25.81161,-80.24009
28,Dm-C6GrXjE_q1hjQUmMgvg,25.866896,-80.304819
29,1GDara-37cF1xh_4GMx1HQ,25.946895,-80.205361
