,request_id,id_encid,search_latitude,search_longitude
0,y_76CBFAD1-B4BB-4BE9-9CED-6AF0A8DE9F1D_1532134064.62,SHGSMv63CvBpoXEQHtfstQ,40.786351,-73.950837
1,y_474BF94F-7821-4D8D-9B72-EE1A0AA844C1_1532006124.03,9ZHWNeyuUvlMKfHWbZOPjw,40.837367,-74.019028
2,y_9AB20E94-A199-4991-A554-2FD57D4F8047_1532543695.22,vIjoF-Aos6dRyF1eV4kkpw,40.749384,-73.995447
3,y_db961b77-4164-4800-9502-78839b025f28_1532391974.48,-c5wzbi8rd8gpplyTZUgIw,40.7482235,-74.0038449
4,y_DBB47ABE-09C3-44A1-BE96-FC87E25EBB2F_1531954523.28,yNDY2nPrmXR0bfUAsIngxA,40.735801,-73.992308
5,y_FC276A58-BEB8-49BA-AAEB-004B019B6538_1532289339.22,Gkm-ntQrMB42zrj_gTB3Yw,40.8174645307699,-73.9478446150399
6,y_2dc3873b-366c-4a37-9844-f1433a8a242a_1531942908.29,WPykmkMYWvXNdvCS2kDbkA,40.7606892,-73.9846473
7,y_ba223a9b-ab7f-4cd6-a2dc-28b7b0e157ba_1532442950.41,yNDY2nPrmXR0bfUAsIngxA,40.7259328,-74.0006243
8,y_D2FB158E-D32D-441B-B5D4-8837366CC766_1532540801.04,-c5wzbi8rd8gpplyTZUgIw,40.764254,-73.993946
9,y_9B2D4840-08A0-44E2-9397-EB7E7676BA00_1532545563.77,OMuLqxyK7W1DBg_3MlmYvg,40.856094,-73.981452
10,y_2dc3873b-366c-4a37-9844-f1433a8a242a_1531942908.29,WPykmkMYWvXNdvCS2kDbkA,40.7605145,-73.9855032
11,y_9AB20E94-A199-4991-A554-2FD57D4F8047_1532543695.22,vIjoF-Aos6dRyF1eV4kkpw,40.750366,-73.994345
12,y_ba223a9b-ab7f-4cd6-a2dc-28b7b0e157ba_1532442950.41,yNDY2nPrmXR0bfUAsIngxA,40.7259195,-74.0006142
13,y_ba223a9b-ab7f-4cd6-a2dc-28b7b0e157ba_1532442950.41,yNDY2nPrmXR0bfUAsIngxA,40.730344,-73.9967467
14,y_ba223a9b-ab7f-4cd6-a2dc-28b7b0e157ba_1532442950.41,yNDY2nPrmXR0bfUAsIngxA,40.725941,-74.0006309
15,y_2dc3873b-366c-4a37-9844-f1433a8a242a_1531942908.29,WPykmkMYWvXNdvCS2kDbkA,40.7433964,-73.9351921
16,y_9AB20E94-A199-4991-A554-2FD57D4F8047_1532543695.22,vIjoF-Aos6dRyF1eV4kkpw,40.751048,-73.98977
17,y_C8B41C6C-AC71-4834-A5DA-402FA2C8B6CA_1532558567.91,J-nyPvMXnN0trafKv4RZfg,40.7929702,-74.0191916
18,y_29E7DEDC-1100-4527-B720-EBA31ED6C7E4_1532541794.22,oHNzBzA7BpJUveIFdfqS8Q,40.802391,-73.939091
19,y_2dc3873b-366c-4a37-9844-f1433a8a242a_1531942908.29,WPykmkMYWvXNdvCS2kDbkA,40.7604055,-73.985241
20,y_9AB20E94-A199-4991-A554-2FD57D4F8047_1532543695.22,vIjoF-Aos6dRyF1eV4kkpw,40.750382,-73.994233
21,y_4C3BFDC6-8B58-4A6D-B4E9-D5C3D7DB4081_1532287705.91,4FQd8e5-MSboS3rNIPegDg,40.8078745235059,-73.9622366590918
22,y_F4B2C8B2-46DD-42A7-BA48-B8873FBD1BAD_1532042266.24,-c5wzbi8rd8gpplyTZUgIw,40.7567,-73.986188
23,y_D797D7CF-831B-4FAB-B560-B33ECCB0D417_1532191740.81,SHGSMv63CvBpoXEQHtfstQ,40.786337,-73.951394
24,7420F9E9D436A166_1532320055.1,MVBVTAG2iJL_BX0sqWAmFg,40.713,-74.0072
25,y_2dc3873b-366c-4a37-9844-f1433a8a242a_1531942908.29,WPykmkMYWvXNdvCS2kDbkA,40.7605948,-73.985418
26,y_DD08971B-6593-4F2E-8E4A-9EDCD1505235_1532373412.27,OcFTc4WuaiZvpTWYQKYpXw,40.818745,-74.028115
27,y_130F6938-7CAA-4FC1-BD99-74E6EA63F5BB_1532302810.31,yNDY2nPrmXR0bfUAsIngxA,40.727482,-74.002274
28,y_D797D7CF-831B-4FAB-B560-B33ECCB0D417_1532191740.81,SHGSMv63CvBpoXEQHtfstQ,40.78733,-73.950925
29,y_c3aec152-2aa3-4b27-953d-10cab66f4e9e_1532393426.82,WPykmkMYWvXNdvCS2kDbkA,40.7502741,-73.9863852
30,y_D2FB158E-D32D-441B-B5D4-8837366CC766_1532540801.04,-c5wzbi8rd8gpplyTZUgIw,40.764278,-73.993929
31,y_474BF94F-7821-4D8D-9B72-EE1A0AA844C1_1532006124.03,n0BqkHnpnb1BPaBTYZnaTA,40.837367,-74.019028
32,y_f446428f-17f6-4448-be84-91f89fc00907_1532104324.99,-c5wzbi8rd8gpplyTZUgIw,40.7608817,-73.9827182
33,y_ba223a9b-ab7f-4cd6-a2dc-28b7b0e157ba_1532442950.41,yNDY2nPrmXR0bfUAsIngxA,40.7259319,-74.0006232
34,y_03b0a34f-7ded-45d7-b0de-c9c6b9fa1b70_1531928364.33,_6Lex6DpLkQ558FFm9NcVA,40.713,-74.0072
35,y_ba223a9b-ab7f-4cd6-a2dc-28b7b0e157ba_1532442950.41,yNDY2nPrmXR0bfUAsIngxA,40.725933,-74.0006232
36,y_F2296F0D-CCE1-40B1-AA7F-A2C8D8BDE615_1532197813.4,QcyaduBa1llS3LlLfVKjZg,40.70509,-73.95913
37,2384936A0A6C5AB1_1531934772.44,SHGSMv63CvBpoXEQHtfstQ,40.7826039,-73.9506774
38,FB228F658EF9C5D8_1532524297.72,yNDY2nPrmXR0bfUAsIngxA,40.713,-74.0072
39,y_F95C7BFF-6BE3-48B2-A00F-4C01488DD931_1532106760.24,SHGSMv63CvBpoXEQHtfstQ,40.789056,-73.954003
40,y_431F459A-5485-402E-85CE-420D3622AF29_1532234124.02,t3TVzQWLZOodNMmTofDdCg,40.7680165,-73.964026
41,y_D2FB158E-D32D-441B-B5D4-8837366CC766_1532540801.04,-c5wzbi8rd8gpplyTZUgIw,40.764298,-73.993913
42,y_F2296F0D-CCE1-40B1-AA7F-A2C8D8BDE615_1532197813.4,QcyaduBa1llS3LlLfVKjZg,40.714473,-73.955498
43,y_db961b77-4164-4800-9502-78839b025f28_1532391974.48,-c5wzbi8rd8gpplyTZUgIw,40.7560225,-73.9707031
44,y_D14A428E-73C4-4EE9-81F0-F8078BC827E6_1532193770.81,-c5wzbi8rd8gpplyTZUgIw,40.753292,-73.996579
45,y_9AB20E94-A199-4991-A554-2FD57D4F8047_1532543695.22,vIjoF-Aos6dRyF1eV4kkpw,40.74957,-73.995295
46,y_FC276A58-BEB8-49BA-AAEB-004B019B6538_1532289339.22,Gkm-ntQrMB42zrj_gTB3Yw,40.713,-74.0072
47,y_D14A428E-73C4-4EE9-81F0-F8078BC827E6_1532193770.81,-c5wzbi8rd8gpplyTZUgIw,40.753299,-73.996997
