,id,business_latitude,business_longitude
0,WPykmkMYWvXNdvCS2kDbkA,40.75097,-73.99342
1,yNDY2nPrmXR0bfUAsIngxA,40.73529,-73.992855
2,5ieIH2GbKCweKfrm6q8Aqg,40.790467,-73.945758
3,Gkm-ntQrMB42zrj_gTB3Yw,40.7986,-73.9417
4,SHGSMv63CvBpoXEQHtfstQ,40.78646,-73.95029
5,OMuLqxyK7W1DBg_3MlmYvg,40.85968,-73.97124
6,CNC-a__YJBBukOwLYgDp-Q,40.806272,-73.941829
7,QcyaduBa1llS3LlLfVKjZg,40.700852,-73.941219
8,HnMtisMrPq7a21Yng5Dbgg,40.729441,-73.950611
9,VauikDcnlgF7XuEC7a8OGw,40.82983,-73.94828
10,-c5wzbi8rd8gpplyTZUgIw,40.755298,-73.99522
11,n0BqkHnpnb1BPaBTYZnaTA,40.8471549571,-73.9353848621
12,oHNzBzA7BpJUveIFdfqS8Q,40.8060111998,-73.9417448945
